,GHGRP ID,Landfill ID,Landfill Name,State,Landfill Alias,Physical Address,City,County,Zip Code,Latitude,Longitude,Composting?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,Does LF Recirculate Leachate?,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF?,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Gas Collection System Comments,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS,LFG Generated (mmscfy),LFG Collected (mmscfy),CH4 Generated (mmscfy),CH4 Collected (mmscfy),CH4 Generated (metric tons per year),CH4 Collected (metric tons per year),CO2e Generated (metric tons per year),CO2e Collected (metric tons per year),Generated CO2e Intensity,Collected CO2e Intensity
512,1008034.0,1879,Arbor Hills Landfill,MI,Onyx Arbor Hills East and West,10690 W. Six Mile Road,Northville,Washtenaw,48168,42.40684,-83.55579,Yes,Private,GFL Environmental USA Inc.,GFL Environmental USA Inc.,1970.0,2028.0,Open,337.0,263.0,,,95366402.0,72077200,2022.0,1971854,2022.0,No,Not used,No,17.774,Yes,13.231,2022.0,46.3,Yes,2.0,6.894,2022.0,"9/10-185 vertical & 3 horizontal wells, 2 enclosed flares.; 2012-252 wells, system capacity=8600 acfm.; 8/18-Replacing GCCS piping in 2018.",191683,"C,HH",6487.51,4829.315,3003.71713,2235.972845,57671.368896,42930.67862399999,1614798.329088,1202059.0014719998,8.424316862152617,6.271077776704245
806,1007989.0,1241,Columbia Ridge LF,OR,,18177 Cedar Springs Lane,Arlington,Gilliam,97812,45.639234,-120.217237,No,Private,WM,WM,1990.0,2131.0,Open,687.0,273.5,,250.0,393767649.0,66976355,2022.0,2607058,2022.0,Yes,Several times per year,Yes,15.817,Yes,10.876,2022.0,51.4,Yes,2.0,5.488,2022.0,"9/10-79 wells over 257 acres, system installed in 1997, 1 enclosed flare.; 2012-74 wells, system capacity=9000 acfm.; 7/14-85 wells.; 2/15-2 enclosed flares & 1 candlestick flare.",282748,"C,HH",5773.205,3969.74,2967.42737,2040.44636,56974.605504,39176.570111999994,1595288.954112,1096943.9631359999,5.642087491731153,3.8795816880614535
133,1002320.0,232,Olinda Alpha SLF,CA,Olinda SLF,1942 N. Valencia Avenue,Brea,Orange,92823,33.93361,-117.84361,Yes,Public,"County of Orange - OC Waste & Recycling, CA","County of Orange - OC Waste & Recycling, CA",1960.0,2036.0,Open,453.0,420.0,415.0,235.0,96736556.0,92800120,2022.0,2142713,2022.0,No,Not used,No,16.588,Yes,14.069,2022.0,49.0,Yes,3.0,0.912,2021.0,"LFG collection system & flare oper., LFG is flared 24/7.; 2/03-2 enclosed flares.; 2012-416 wells, system capacity=12600 acfm.",421147,HH,6054.620000000001,5135.185,2966.7638,2516.24065,56961.86496,48311.82048,1594932.21888,1352730.97344,3.787115232638485,3.212016168796169
558,1003582.0,1912,Woodland Meadows Landfill,MI,Van Buren; North; South,"5900 Hannan Road
39900 Van Born Road (Canton)",Wayne,Wayne,48184,42.2652,-83.4315,No,Private,WM,WM,1975.0,2040.0,Open,283.0,,182.0,,132430130.0,66427650,2022.0,3953108,2022.0,No,Not used,No,14.392,Yes,12.029,2022.0,55.7,Yes,6.0,4.286,2022.0,,182221,"C,HH",5253.08,4390.585,2925.96556,2445.5558450000003,56178.538752,46954.672224,1572999.085056,1314730.8222720001,8.632369952178948,7.215034613310212
728,1007648.0,972,High Acres LF and Recycling Center,NY,High Acres LF,425 Perinton Parkway,Fairport,Monroe,14450,43.08695,-77.37943,No,Private,WM,WM,1972.0,2054.0,Open,366.0,187.5,,129.0,69204009.0,27941530,2022.0,1142435,2022.0,No,Not used,No,15.8,Yes,10.033,2022.0,50.2,Yes,3.0,5.726,2022.0,"9/10-160 wells over 84 acres, system installed in 1989, 2 enclosed flares.; 2012-207 wells, system capacity=13600 acfm.",171610,"C,HH",5767.0,3662.0449999999996,2895.034,1838.3465899999999,55584.6528,35296.254528,1556370.2784000002,988295.126784,9.069228357321835,5.758960006899365
1049,1007674.0,2071,King George Landfill Inc.,VA,,10376 Bullock Drive,King George,King George,22485,38.26964,-77.30596,No,Public,"King George County, VA",WM,1996.0,2041.0,Open,,204.8,375.0,,66762828.0,35829175,2022.0,1564162,2022.0,Yes,Several times per year,No,15.635,Yes,12.88,2022.0,48.9,Yes,3.0,5.471,2022.0,"2010-173 wells, system capacity=8000 scfm.; 4/12-182 gas wells total as of Sept. 2010.; 2012-217 wells, system capacity=15500 acfm.",230664,"C,HH",5706.775,4701.200000000001,2790.6129749999996,2298.8868,53579.76911999999,44138.626560000004,1500233.5353599996,1235881.5436800001,6.5039778004369975,5.357929905316825
448,1007901.0,681,Outer Loop RDF,KY,Outer Loop Landfill,2673 Outer Loop,Louisville,Jefferson,40219,38.13577,-85.71612,No,Private,WM,WM,1969.0,2072.0,Open,518.0,364.0,150.0,108.0,90521871.0,39814494,2022.0,1028468,2022.0,No,Not used,No,13.7,Yes,6.028,2022.0,55.0,Yes,3.0,0.31,2022.0,"11/09-200+ wells.; 9/10-185 wells over 350 acres, system installed in 1997, 3 open flares.; 2012-228 wells, system capacity=16950 acfm.",49850,"C,HH",5000.5,2200.22,2750.275,1210.121,52805.28,23234.323200000003,1478547.8399999999,650561.0496,29.659936609829487,13.050372108324975
832,1001643.0,1288,Greentree Landfill,PA,Kersey; BFI Greentree,635 Toby Road,Kersey,Elk,15846,41.2953,-78.6469,No,Private,Noble Environmental,Noble Environmental,1986.0,2065.0,Open,,204.6,,,59784189.0,26755341,2022.0,533330,2022.0,No,Occasionally but not every year,No,13.2,Yes,4.384,2022.0,57.0,Yes,3.0,0.0,2022.0,"12/07-160 permanent wells, 25 temporary odor control wells.; 9/10-174 vertical wells, 2 enclosed flares & 1 candlestick flare.; 2012-263 wells, system capacity=10500 acfm.",33039,"C,HH",4818.0,1600.16,2746.2599999999998,912.0912,52728.191999999995,17512.151039999997,1476389.376,490340.2291199999,44.6862609643149,14.841255156633068
359,1002249.0,497,Livingston LF,IL,County Environmental of Livingston,14206 E. 2100 North Road,Pontiac,Livingston,61764,40.93178,-88.65735,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1978.0,2051.0,Open,461.0,301.7,,,82413820.0,56491509,2022.0,1059019,2022.0,No,Not used,No,13.622,Yes,10.45,2022.0,53.4,Yes,3.0,3.599,2022.0,"9/10-200 wells over 202 acres, 2 enclosed flares & 1 candlestick flare.; 2012-280 wells, system capacity=14000 acfm.; 11/13-270 gas collection points.",83199,"C,HH",4972.03,3814.2499999999995,2655.06402,2036.8094999999998,50977.229183999996,39106.742399999996,1427362.417152,1094988.7872,17.156004485053906,13.161081109147945
823,1002556.0,1269,Conestoga LF,PA,Morgantown,420 Quarry Road,Morgantown,Berks,19543,40.1806,-75.9144,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1994.0,2029.0,Open,277.0,197.0,,150.0,55161632.0,38783267,2022.0,1174304,2022.0,No,Not used,No,15.0,Yes,9.691,2022.0,48.0,Yes,3.0,3.547,2022.0,"6/04-82 wells required by permit, 79 currently installed, 120+ wells planned to improve collection efficiency, 2 enclosed flares.; 2/07-Going to add 3rd flare.; 8/07-137 wells.; 9/10-153 wells over 154 acres.; 2012-191 wells, system capacity=3350 acfm.",124457,"C,HH",5475.0,3537.215,2628.0,1697.8632,50457.6,32598.973439999998,1412812.8,912771.2563199999,11.351814682982878,7.334029072852471
927,1007800.0,1479,Atascocita RDF,TX,WMI/Atascocita LF,3623 Wilson Road,Humble,Harris,77396,29.958334,-95.238334,No,Private,WM,WM,1983.0,2042.0,Open,310.0,205.5,,,62570454.0,41607927,2022.0,1298331,2022.0,No,Not used,No,13.13,Yes,8.51,2022.0,54.5,Yes,3.0,0.64,2022.0,"5/05-107 gas collection wells.; 2012-174 wells, system capacity=18200 acfm.; 3/18-Installing additional wells.",202609,HH,4792.450000000001,3106.15,2611.8852500000007,1692.8517500000003,50148.19680000001,32502.753600000004,1404149.5104000003,910077.1008000001,6.930341250388681,4.491790102117873
1083,1003676.0,1625,Roosevelt Regional MSW Landfill,WA,H.W. Hill Landfill,500 Roosevelt Grade Road,Roosevelt,Klickitat,99356,45.805,-120.174,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1990.0,2097.0,Open,915.0,360.0,180.0,150.0,218761119.0,64964161,2022.0,2020009,2022.0,Yes,Several times per year,No,13.016,Yes,8.633,2022.0,54.2,Yes,2.0,0.102,2022.0,"2012-220 wells, system capacity=11550 acfm.",258139,"C,HH",4750.84,3151.0449999999996,2574.95528,1707.86639,49439.141376,32791.034688,1384295.958528,918148.971264,5.362599059142554,3.556800682051143
746,1003102.0,1187,Carbon Limestone LF,OH,,8100 South Stateline Road,Lowellville,Mahoning,44436,41.00163,-80.519,Yes,Private,"Republic Services, Inc.","Republic Services, Inc.",1963.0,2059.0,Open,770.0,388.0,,,88707280.0,41146343,2022.0,1152335,2022.0,No,Not used,No,14.13,Yes,11.419,2022.0,49.4,Yes,3.0,4.255,2022.0,"2012-314 wells, system capacity=13000 acfm.",125594,"C,HH",5157.450000000001,4167.935,2547.7803000000004,2058.95989,48917.381760000004,39532.029888,1369686.68928,1106896.836864,10.905669771485899,8.813293922193735
992,1004377.0,12201,NTMWD 121 Regional Disposal Facility,TX,,3820 Sam Rayburn Highway,Melissa,Collin,75454,33.295432,-96.518814,No,Public,"North Texas Municipal Water District, TX",,2004.0,2062.0,Open,,89.4,,,94356933.0,14633330,2022.0,1019867,2022.0,No,Occasionally but not every year,No,11.667,Yes,8.445,2022.0,58.5,Yes,1.0,0.13,2022.0,"2010-Passive venting.; 6/12-Flares are now operational.; 2012-47 wells, system capacity=4000 acfm, passive vents/flares too.; 1/17-89 wells, 30-ft candlestick flare.; 12/17-Adding ~75 more wells in 2018.",325416,HH,4258.455,3082.425,2491.1961749999996,1803.218625,47830.96655999999,34621.7976,1339267.06368,969410.3328,4.115553825503356,2.978987919463087
620,1003099.0,1071,Charlotte Motor Speedway Landfill V,NC,CMS Landfill V,5105 Morehead Road,Concord,Cabarrus,28027,35.3457,-80.6826,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1992.0,2031.0,Open,,276.0,60.0,,40798765.0,37586440,2022.0,1120623,2022.0,No,Not used,No,13.6,Yes,6.366,2022.0,49.8,Yes,3.0,1.045,2022.0,"2012-190 wells, system capacity=9000 acfm.",181541,HH,4964.0,2323.5899999999997,2472.072,1157.14782,47463.782400000004,22217.238144,1328985.9072,622082.668032,7.320582717953521,3.4266786457714784
1072,1007822.0,1606,Cedar Hills Regional LF,WA,,16645 228th Avenue SE,Maple Valley,King,98038,47.442,-122.06,Yes,Public,"King County Solid Waste Division, WA","King County Solid Waste Division, WA",1965.0,2046.0,Open,920.0,430.9,200.0,200.0,66150000.0,44692721,2022.0,886449,2022.0,No,Not used,No,13.448,Yes,10.986,2022.0,49.9,Yes,5.0,1.141,2021.0,"9/10-530 vertical wells & 30 miles of horizontal collectors over 450 acres, gas collection began in 1980s, 5 enclosed flares.; 2012-System capacity=12000 acfm.",233268,"C,HH",4908.52,4009.8900000000003,2449.3514800000003,2000.9351100000001,47027.548416000005,38417.954112,1316771.3556480003,1075702.715136,5.644886378105871,4.611445698235506
763,1007969.0,2429,Lorain County Landfill I & II,OH,,"43502 Oberlin-Elyria Road
State Route 511",Oberlin,Lorain,44074,41.305,-82.175,Yes,Private,"Republic Services, Inc.","Republic Services, Inc.",1972.0,2039.0,Open,,,,,54712100.0,44207016,2022.0,832313,2022.0,No,Not used,No,12.445,Yes,10.632,2022.0,52.7,Yes,,3.349,2022.0,"5/08-175 acre wellfield.; 2014-275 wells, system capacity=26500 acfm.",127687,HH,4542.425,3880.68,2393.8579750000004,2045.11836,45962.07312000001,39266.272511999996,1286938.0473600002,1099455.630336,10.078849431500467,8.610552603914257
757,1003787.0,1175,Franklin County SLF,OH,,3851 London-Groveport Road SR-665,Grove City,Franklin,43123,39.84186,-83.10904,No,Public,"Solid Waste Authority of Central Ohio, OH","Solid Waste Authority of Central Ohio, OH",1985.0,2067.0,Open,362.0,164.5,248.0,165.0,96748841.0,29305936,2022.0,1245216,2022.0,No,Not used,No,11.453,Yes,8.461,2022.0,55.7,Yes,3.0,0.461,2022.0,"12/08-1600 cfm capacity -> 4000 cfm when enclosed flare added in 2005.; 9/10-94 wells over 121 acres, collection began in 2001, flares: 1 enclosed, 1 open.; 10/11-115 wells at 120 ft deep.; 2012-176 wells, system cap=9200 acfm, passive vents/flares too.",232717,"C,HH",4180.344999999999,3088.2650000000003,2328.4521649999997,1720.1636050000004,44706.28156799999,33027.141216,1251775.8839039998,924759.954048,5.378961931891524,3.9737533315056486
959,1003439.0,1509,Covel Gardens RDF,TX,Garbage Gobbler LF,8611 Covel Road,San Antonio,Bexar,78252,29.35008,-98.64631,No,Private,WM,WM,1993.0,2092.0,Open,244.0,202.0,100.0,,129896985.0,38926472,2022.0,1323993,2022.0,No,Occasionally but not every year,No,12.587,Yes,8.062,2022.0,50.4,Yes,3.0,5.402,2022.0,"2012-101 wells, system capacity=9000 acfm.",181610,"C,HH",4594.255,2942.6299999999997,2315.50452,1483.0855199999999,44457.686784,28475.241983999997,1244815.2299519998,797306.7755519999,6.8543319748472,4.390214060635427
120,1004037.0,265,Kiefer LF,CA,Sacramento County LF,12701 Kiefer Boulevard & Grant Line Road,Sloughhouse,Sacramento,95683,38.52099,-121.1989,No,Public,"Sacramento County, CA","Sacramento County, CA",1967.0,2098.0,Open,,295.0,,,117420098.0,34481556,2022.0,1132188,2022.0,No,Not used,No,14.4,Yes,7.837,2022.0,43.6,Yes,2.0,0.37,2019.0,"11/04-150 wells.; 9/07-Initial GCCS installed in 1997, 200 wells now.; 2012-182 wells, system capacity=13500 acfm.",173814,"C,HH",5256.0,2860.505,2291.616,1247.18018,43999.0272,23945.859456000002,1231972.7615999999,670484.064768,7.087879926818323,3.857480207394111
363,1001637.0,1899,Orchard Hills Landfill Inc.,IL,"Davis Junction LF; Ogle County-Davis Junction; Rockford; Veolia ES Orchard Hills Landfill, Inc.",8290 N. IL Highway 251,Davis Junction,Ogle,61020,42.14322,-89.0769,No,Private,WM,WM,1998.0,2035.0,Open,,161.5,,,41817387.0,35475555,2022.0,619192,2022.0,No,Not used,No,12.67,Yes,8.915,2022.0,48.8,Yes,2.0,8.16,2022.0,"9/10-62 vertical & 30 horizontal wells, system installed in 2002, 1 candlestick flare.; 2012-131 wells, system capacity=10500 acfm.",132971,"C,HH",4624.55,3253.975,2256.7804,1587.9397999999999,43330.18368,30488.444159999995,1213245.14304,853676.4364799999,9.124133405328982,6.420019677072443
382,1006358.0,2323,Winnebago Landfill,IL,Pagel Landfill; Pagel Pit,8403 Lindenwood Road,Rockford,Winnebago,61109,42.1597,-89.0554,No,Private,"Waste Connections, Inc.","Winnebago Reclamation Services, Inc.",1972.0,2032.0,Open,73.0,,,,44201408.0,32190502,2022.0,3017257,2022.0,No,Not used,No,15.499,Yes,10.045,2022.0,39.8,Yes,3.0,10.045,2022.0,"6/06-North Unit has 36 active vertical extraction wells, which are dual leachate/gas system with a 2,500 cfm utility flare, South Unit has 10 active vertical extraction wells with a 793 cfm utility flare.; 2010-108 wells, system capacity=5490 acfm",229588,"C,HH",5657.135,3666.425,2251.53973,1459.23715,43229.562816,28017.35328,1210427.7588479999,784485.8918399999,5.272173453525445,3.416928985138596
1002,1003281.0,1497,Seabreeze Environmental Landfill,TX,Brazoria County Disposal LF,10310 FM 523,Angleton,Brazoria,77515,29.090834,-95.36,No,Private,Waste Connections Inc. - Central Region,Waste Connections Inc. - Central Region,1974.0,2044.0,Open,417.0,217.4,,30.0,62102405.0,28593937,2022.0,1224907,2022.0,No,Not used,No,10.7,Yes,1.711,2022.0,57.4,Yes,,0.368,2022.0,"2012-91 wells, system capacity=3014 acfm.",43190,"C,HH",3905.4999999999995,624.515,2241.7569999999996,358.47160999999994,43041.734399999994,6882.654911999999,1205168.5631999997,192714.33753599998,27.903879675850884,4.4620129089141
97,1002992.0,105,Chiquita Canyon SLF,CA,,29201 Henry Mayo Drive,Castaic,Los Angeles,91384,34.42806,-118.64661,No,Private,"Waste Connections, Inc.","Waste Connections, Inc.",1970.0,2047.0,Open,271.0,227.0,,100.0,60715392.0,47907772,2022.0,2000975,2022.0,No,Not used,No,15.12,Yes,11.921,2022.0,40.5,Yes,3.0,8.055,2022.0,"2012-324 wells, system capacity=8000 acfm.",175833,HH,5518.799999999999,4351.165,2235.114,1762.221825,42914.188799999996,33834.65904,1201597.2863999999,947370.45312,6.83374159799355,5.387899046936582
152,1007816.0,279,Simi Valley LF,CA,,2801 N. Madera Road,Simi Valley,Ventura,93065,34.29454,-118.79544,Yes,Private,WM,WM,1970.0,2062.0,Open,371.0,143.7,,,138635608.0,37145906,2022.0,2016416,2022.0,Yes,Several times per year,No,13.161,Yes,8.951,2022.0,44.7,Yes,2.0,8.951,2022.0,"2012-165 wells, system capacity=6700 acfm.",190567,"C,HH",4803.764999999999,3267.1150000000002,2147.2829549999997,1460.400405,41227.83273599999,28039.687776000002,1154379.3166079996,785111.257728,6.057603449747331,4.119869955070921
175,1007709.0,1718,Denver Arapahoe Disposal Site (DADS),CO,Lowry LF,3500 South Gun Club Road,Aurora,Arapahoe,80018,39.66,-104.69,Yes,Public,"City and County of Denver, CO",WM,1966.0,2154.0,Open,1363.0,677.0,,159.0,403240336.0,77765921,2022.0,2094541,2022.0,Yes,Several times per year,No,12.4,Yes,3.724,2022.0,47.1,Yes,2.0,2.18,2022.0,"9/10-188 wells over 340 acres, system installed in 2001, 1 open flare & 1 enclosed flare.; 2012-269 wells, system capacity=4000 acfm.",27793,"C,HH",4526.0,1359.26,2131.746,640.21146,40929.5232,12292.060032,1146026.6496000001,344177.680896,41.23436295470083,12.38361029381499
577,1008252.0,832,Champ Landfill,MO,North SLF; Fred Weber SLF; IESI Champ Landfill,2305 Creve Coeur Mill Road,Maryland Heights,St. Louis,63043,38.743,-90.46,No,Private,Waste Connections Inc. - Central Region,,1974.0,2086.0,Open,,110.5,200.0,,94181437.0,26234609,2022.0,833137,2022.0,No,Not used,No,11.784,Yes,8.631,2022.0,49.1,Yes,3.0,4.533,2022.0,"2012-101 wells, system capacity=7200 acfm.",224594,HH,4301.16,3150.315,2111.86956,1546.804665,40547.895552,29698.649568,1135341.075456,831562.187904,5.05508194990071,3.7025129251182136
961,1005834.0,1461,DFW Recycling & Disposal Facility,TX,Dallas-Fort Worth LF,1600 A South Railroad Street,Lewisville,Denton,75057,33.01615,-96.96316,No,Private,WM,WM,1972.0,2030.0,Open,314.0,296.0,,73.0,,72550188,2022.0,210331,2022.0,No,Not used,No,10.941,Yes,8.555,2022.0,52.4,Yes,2.0,3.55,2022.0,"9/10-140 wells over 280 acres, system installed in 1986, 2 enclosed flares.; 2012-160 wells, system capacity=8500 acfm.",142618,"C,HH",3993.465,3122.575,2092.57566,1636.2293,40177.452672,31415.60256,1124968.674816,879636.87168,7.887985210955139,6.167782970452538
