REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2022,ANDERSON LANDFILL,1007839,18703 CAMBRIDGE ROAD,40.41754,-122.35787,ANDERSON,SHASTA COUNTY,CA,96007,WASTE MANAGEMENT INC (100%),29973,HH
2022,ANGELINA COUNTY WASTE MANAGEMENT CENTER,1005392,7521 FM 58,31.2525,-94.695,LUFKIN,ANGELINA COUNTY,TX,75901,COUNTY OF ANGELINA TEXAS (100%),108733,HH
2022,ANN ARBOR SLF PHASE I & II,1006178,4150 PLATT RD,42.22703,-83.69976,ANN ARBOR,WASHTENAW COUNTY,MI,48108,CITY OF ANN ARBOR MICHIGAN (100%),21437,HH
2022,ANTELOPE VALLEY RECYCLING AND DISPOSAL FACILITY,1007710,1200 WEST CITY RANCH ROAD,34.5697,-118.1534,PALMDALE,LOS ANGELES COUNTY,CA,93551,WASTE MANAGEMENT INC (100%),58294,"C,HH"
2022,APACHE JUNCTION LANDFILL,1004003,4050 SOUTH TOMAHAWK RD,33.377246,-111.528771,APACHE JUNCTION,PINAL COUNTY,AZ,85219,REPUBLIC SERVICES INC (100%),29790,HH
2022,"APEX ENVIRONMENTAL, LLC - SANITARY LANDFILL (0641000223)",1006777,11 COUNTY ROAD 78,40.432403,-80.911512,AMSTERDAM,JEFFERSON COUNTY,OH,43903,APEX ENVIRONMENTAL LLC (100%),627143,"C,HH"
2022,APEX REGIONAL LANDFILL,1004352,13550 US HIGHWAY 93 NORTH,36.29423,-115.28183,LAS VEGAS,CLARK COUNTY,NV,89165,REPUBLIC SERVICES INC (100%),79222,"C,HH"
2022,ARBOR HILLS LANDFILL,1008034,10690 W. SIX MILE RD,42.406821,-83.556249,NORTHVILLE,WASHTENAW COUNTY,MI,48167,GFL ENVIRONMENTAL HOLDINGS (US) INC (100%),191683,"C,HH"
2022,ARDEN LDFL,1003456,200 Rangos Lane,40.208427,-80.264771,WASHINGTON,WASHINGTON COUNTY,PA,15301,WASTE MANAGEMENT INC (100%),24628,"C,HH"
2022,ATASCOCITA RECYCLING AND DISPOSAL FACILITY,1007800,3623 WILSON ROAD,29.95135,-95.24966,HUMBLE,HARRIS COUNTY,TX,77396,WASTE MANAGEMENT INC (100%),202609,HH
2022,ATHENS & CLARKE COUNTIES-DUNLAP ROAD LF,1006056,5700 LEXINGTON RD,33.9257,-83.2634,WINTERVILLE,CLARKE COUNTY,GA,30683,UNIFIED GOVERNMENT OF ATHENS-CLARKE COUNTY GEORGIA (100%),70743,HH
2022,ATLANTIC COUNTY LANDFILL,1001858,6700 Delilah Road,39.41653,-74.54036,EGG HARBOR TOWNSHIP,ATLANTIC COUNTY,NJ,8234,ATLANTIC COUNTY UTILITIES AUTHORITY (100%),44220,"C,HH"
2022,ATLANTIC WASTE DISPOSAL INC - SUSSEX COUNTY LAND,1003826,3474 ATLANTIC LN,37.061279,-77.177106,WAVERLY,SUSSEX COUNTY,VA,23890,WASTE MANAGEMENT INC (100%),75908,"C,HH"
2022,AUBURN SANITARY LANDFILL NO 2,1003034,311 NORTH DIVISION STREET,42.95203,-76.5868,AUBURN,CAYUGA COUNTY,NY,13021,CITY OF AUBURN NEW YORK (100%),1919,"C,HH"
2022,AUGUSTA COUNTY SVC AUTHORITY LANDFILL,1006344,749 Christians Creek Road,38.0781,-79.0635,STAUNTON,AUGUSTA COUNTY,VA,24401,COUNTY OF AUGUSTA VIRGINIA (57.73%); CITY OF WAYNESBORO VIRGINIA (21.86%); CITY OF STAUNTON VIRGINIA (20.41%),101621,"C,HH"
2022,AUTUMN HILLS RECYCLING AND DISPOSAL FACILITY,1006132,700 56TH AVENUE,42.780647,-85.920569,ZEELAND,OTTAWA COUNTY,MI,49464,WASTE MANAGEMENT INC (100%),85420,"C,HH"
2022,AVA LANDFILL,1003033,7044 ST RTE 294,43.461,-75.412,AVA,ONEIDA COUNTY,NY,13303,ONEIDA HERKIMER SOLID WASTE MANAGEMENT AUTHORITY INC (100%),72327,"C,HH"
2022,AVENAL REGIONAL LANDFILL,1003328,1200 Skyline Blvd,36.01195,-120.11535,AVENAL,KINGS COUNTY,CA,93204,AVENAL REGIONAL LANDFILL (100%),25527,HH
2022,AZUSA LAND RECLAMATION CO INC INERT LF,1007682,1211 W GLADSTONE ST,34.11432,-117.92861,AZUSA,LOS ANGELES COUNTY,CA,91702,WASTE MANAGEMENT INC (100%),131279,"C,HH"
2022,Abilene Environmental Landfill,1012891,1984 FM 3034,32.523921,-99.750711,Abilene,JONES COUNTY,TX,79601,ABILENE ENVIRONMENTAL LANDFILL INC (100%),34690,HH
2022,Abilene Regional Landfill,1007357,,32.534633,-99.753812,Abilene,JONES COUNTY,TX,79601,REPUBLIC SERVICES INC (100%),200853,HH
2022,Ada County Solid Waste Management,1003446,10300 Seaman's Gulch Road,43.723526,-116.269298,Boise,ADA COUNTY,ID,83714,COUNTY OF ADA IDAHO (100%),98454,"C,HH"
2022,Ahlstrom - Munksjo Mosinee LLC,1007273,100 MAIN STREET,44.79031,-89.69372,MOSINEE,MARATHON COUNTY,WI,54455,AHLSTROM-MUNKSJO NORTH AMERICA SPECIALTY SOLUTIONS LLC (100%),9346,"AA,C,TT"
2022,Alamance County Landfill,1005138,2701 Austin Quarter Rd.,35.9306,-79.2941,Graham,ALAMANCE COUNTY,NC,27253,COUNTY OF ALAMANCE NORTH CAROLINA (100%),130863,HH
2022,Alderson Regional Landfill,1003411,201 SOUTH FIFTH STREET,34.894582,-95.686187,ALDERSON,PITTSBURG COUNTY,OK,74522,REPUBLIC SERVICES INC (100%),18738,HH
2022,"Altair Disposal Services, LLC",1007072,5464 Highway 71,29.569298,-96.464242,Altair,COLORADO COUNTY,TX,77412,CLEAN HARBORS INC (100%),34035,HH
2022,Altamont Landfill & Resource Recovery Facility,1007699,10840 Altamont Pass Road,37.723116,-121.682053,Livermore,ALAMEDA COUNTY,CA,94551,WASTE MANAGEMENT INC (100%),171858,"C,HH"
2022,American Canyon Landfill,1004465,,38.1809,-122.281,American Canyon,NAPA COUNTY,CA,94503,NAPA VALLEGO WASTE MANAGEMENT AUTHORITY (100%),33650,HH
2022,American Crystal Sugar Company - Drayton,1006878,8152 Old Highway 44,48.593129,-97.173682,Drayton,PEMBINA COUNTY,ND,58225,AMERICAN CRYSTAL SUGAR CO (100%),31028,"C,S,TT"
2022,Amherst County Landfill,1013081,715 KENTMOOR FARM RD,37.47626,-79.03557,MADISON HEIGHTS,AMHERST COUNTY,VA,24521,COUNTY OF AMHERST (100%),28024,HH
2022,Anderson Regional Landfill,1002813,203 Landfill Road,34.57226,-82.4603,Belton,ANDERSON COUNTY,SC,29627,WASTE CONNECTIONS US INC (100%),246753,HH
2022,Anoka Municipal Regional Landfill,1011466,14730 NW Sunfish Blvd,45.23715,-93.42943,Ramsey,ANOKA COUNTY,MN,55303,STATE OF MINNESOTA (100%),30024,HH
2022,Anson County Waste Management Facility,1002236,375 Dozer Drive,34.969177,-80.165185,Polkton,ANSON COUNTY,NC,28135,WASTE CONNECTIONS US INC (100%),80464,HH
2022,Arecibo Landfill,1005158,"Carr. PR-682 Interior, Sector Garrochales, Bo. Factor II",18.419506,-66.736735,Arecibo,ARECIBO MUNICIPIO,PR,612,MUNICIPALITY OF ARECIBO (100%),129770,"C,HH"
2022,Arlington Landfill,1002645,800 Mosier Valley Road,32.80776,-97.10376,Euless,TARRANT COUNTY,TX,76040,CITY OF ARLINGTON (100%),84724,"C,HH"
2022,Arrowhead Landfill,1001297,622 Tayloe Road,32.435714,-87.437716,Uniontown,PERRY COUNTY,AL,36786,"Arrowhead Environmental Partners, LLC (100%)",82303,HH
2022,Ascend Performance Materials LLC,1004962,3000 Old Chemstrand Road,30.596678,-87.251977,Cantonment,ESCAMBIA COUNTY,FL,32533,ASCEND PERFORMANCE MATERIALS HOLDINGS INC (100%),408,"C,E,P,TT,V"
2022,Asotin County Regional Landfill,1014475,2901 6th Ave,46.383767,-117.111887,Clarkston,ASOTIN COUNTY,WA,99403,Asotin County (100%),68302,"C,HH"
2022,"Athens-Hocking Landfill, Inc.",1011217,17970 Diamond Brick Road (Old U.S. Route 33),39.45634,-82.279142,Nelsonville,ATHENS COUNTY,OH,45764,RUMPKE CONSOLIDATED COS INC (100%),152043,HH
2022,Atkinson County - S.R. 50 MSW Landfill,1003450,64 Arthur Davis Jr. Drive,31.33676,-83.03276,Willachoochee,ATKINSON COUNTY,GA,31650,SOLID WASTE MANAGEMENT AUTHORITY OF ATKINSON COUNTY (100%),53361,HH
2022,Aucilla Area Solid Waste Facility,1005810,1313 SW Greenville Hills Rd.,30.4607,-83.6085,Greenville,MADISON COUNTY,FL,32331,AUCILLA AREA SOLID WASTE ADMINISTRATION (100%),56801,HH
2022,BACKRIDGE LANDFILL,1003412,26265 STATE HIGHWAY B,40.0161,-91.5217,LA GRANGE,LEWIS COUNTY,MO,63448,REPUBLIC SERVICES INC (100%),25050,HH
2022,BADLANDS SANITARY LANDFILL,1000046,31125 IRONWOOD AVENUE,33.9541,-117.1168,MORENO VALLEY,RIVERSIDE COUNTY,CA,92555,COUNTY OF RIVERSIDE CALIFORNIA (100%),82236,HH
2022,BAKERSFIELD METROPOLITAN SANITARY LANDFILL,1002896,2951 Neumarkel Road,35.422469,-118.708138,Edison,KERN COUNTY,CA,93220,COUNTY OF KERN CALIFORNIA (100%),41041,HH
2022,BALDWIN COUNTY SOLID WASTE,1007875,15093 LANDFILL DRIVE,30.443309,-87.774276,SUMMERDALE,BALDWIN COUNTY,AL,36580,BALDWIN COUNTY SOLID WASTE (100%),265100,HH
2022,BARSTOW SANITARY LANDFILL,1004406,"32553 BARSTOW ROAD, 5 MILES S OF BARSTOW",34.837222,-117.017655,BARSTOW,SAN BERNARDINO COUNTY,CA,92311,COUNTY OF SAN BERNARDINO SOLID WASTE MANAGEMENT DIV (100%),54008,"C,HH"
2022,BARTHOLOMEW CO LANDFILL,1002168,11110 E 25th Street,39.224811,-85.800619,COLUMBUS,BARTHOLOMEW COUNTY,IN,47201,COUNTY OF BARTHOLOMEW INDIANA (100%),18040,HH
2022,BARTHOLOMEW COUNTY LANDFILL II,1002167,811 E CR 450 S,39.134761,-85.93343,COLUMBUS,BARTHOLOMEW COUNTY,IN,47201,COUNTY OF BARTHOLOMEW INDIANA (100%),76129,"C,HH"
2022,BARTON COUNTY SANITARY LANDFILL,1002401,350 NE 30 ROAD,38.4082,-98.7054,GREAT BEND,BARTON COUNTY,KS,67530,BARTON COUNTY KANSAS (100%),37000,"C,HH"
2022,BATTLE CREEK LANDFILL,1002639,219 LANDFILL DRIVE,38.622463,-78.586795,LURAY,PAGE COUNTY,VA,22835,PAGE COUNTY VIRGINIA (100%),66897,"C,HH"
2022,BAYTOWN LANDFILL,1007684,4791 TRI CITY BEACH RD,29.680398,-94.930647,BAYTOWN,HARRIS COUNTY,TX,77520,WASTE MANAGEMENT INC (100%),41826,HH
2022,BAYVIEW LANDFILL,1006417,"10800 South State Road 68, 764965",39.95249,-111.95619,Elberta,UTAH COUNTY,UT,84626,NORTHERN UTAH ENVIRONMENTAL RESOURCE AGENCY (100%),88954,"C,HH"
2022,BEECH HOLLOW SANITARY LANDFILL *,1004815,28 AW LONG ROAD,39.12929,-82.465678,WELLSTON,JACKSON COUNTY,OH,45692,RUMPKE CONSOLIDATED COS INC (100%),326004,"C,HH"
2022,BEECHER LANDFILL,1003744,1055 W GOODENOW RD,41.384838,-87.637077,BEECHER,WILL COUNTY,IL,60401,WASTE MANAGEMENT INC (100%),1763,HH
2022,BERKELEY COUNTY LANDFILL,1003478,2277 Hwy 52,33.113872,-80.028486,MONCKS CORNER,BERKELEY COUNTY,SC,29461,BERKELEY COUNTY WATER & SANITATION AUTHORITY (100%),69073,HH
2022,BI-COUNTY SOLID WASTE MANAGEMENT SYSTEMS,1005281,3212 Dover Road,36.538,-87.54235,Woodlawn,MONTGOMERY COUNTY,TN,37191,MONTGOMERY COUNTY GOVERNMENT (100%),166774,HH
2022,BIG RIVER LANDFILL,1006223,52 LANDFILL ROAD,33.3955,-90.90665,LELAND,WASHINGTON COUNTY,MS,38756,REPUBLIC SERVICES INC (100%),148067,HH
2022,BIG RUN LANDFILL,1007094,1837 RIVER CITIES DR,38.37327,-82.75861,ASHLAND,BOYD COUNTY,KY,41102,BOYD COUNTY SANITARY LANDFILL INC (100%),283731,HH
2022,BIG SPRING REFINERY,1006961,200 REFINERY RD; INTERSECTION OF I-20 & REFINERY RD,32.269104,-101.417673,BIG SPRING,HOWARD COUNTY,TX,79720,DELEK US HOLDINGS INC (100%),1276,"C,MM,TT,Y"
2022,BIGFOOT RUN LANDFILL,1004354,2420 E MASON MORROW RD,39.36463,-84.168816,MORROW,WARREN COUNTY,OH,45152,REPUBLIC SERVICES INC (100%),5343,HH
2022,BILLINGS CITY LANDFILL,1000477,5240 JELLISON ROAD 4 1/2 MI S.,45.722949,-108.543015,BILLINGS,YELLOWSTONE COUNTY,MT,59101,SOLID WASTE DIV CITY OF BILLINGS MONTANA (100%),137524,HH
2022,BKK Corporation,1011449,2210 S. Azusa Ave.,34.036441,-117.902294,West Covina,LOS ANGELES COUNTY,CA,91792,BKK CORP (100%),281538,HH
2022,BLACK HAWK COUNTY SANITARY LANDFILL,1000287,1509 EAST WASHBURN ROAD,42.41399,-92.32887,WATERLOO,BLACK HAWK COUNTY,IA,50701,COUNTY OF BLACK HAWK IOWA (100%),170383,HH
2022,BLACK OAK LANDFILL,1005518,5054 HIGHWAY HH,37.2413,-92.4584,HARTVILLE,WRIGHT COUNTY,MO,65667,GFL ENVIRONMENTAL HOLDINGS (US) INC (100%),33631,HH
2022,BLACKBURN SANITARY LANDFILL,1001943,3993 ROCKY FORD ROAD,35.60606,-81.30738,NEWTON,CATAWBA COUNTY,NC,28658,COUNTY OF CATAWBA NORTH CAROLINA (100%),109496,"C,HH"
2022,BLUE RIDGE LANDFILL,1005891,2200 FM 521,29.555893,-95.441863,FRESNO,FORT BEND COUNTY,TX,77545,REPUBLIC SERVICES INC (100%),319681,HH
2022,BLUE RIDGE RECYCLING & DISPOSAL FACILITY,1004082,2700 WINCHESTER RD,37.71186,-83.97614,IRVINE,ESTILL COUNTY,KY,40336,WASTE MANAGEMENT INC (100%),19849,"C,HH"
2022,BLUFF ROAD LANDFILL,1002158,6001 BLUFF RD,40.9147,-96.6408,LINCOLN,LANCASTER COUNTY,NE,68517,CITY OF LINCOLN NEBRASKA (100%),103214,"C,HH"
2022,BOISE PAPER,1002893,31831 WEST HIGHWAY 12,46.097264,-118.911147,WALLULA,WALLA WALLA COUNTY,WA,99363,PACKAGING CORP OF AMERICA (100%),14790,"AA,C,TT"
2022,BOISE WHITE PAPER MILL,1002963,4585 INDUSTRIAL RD.,31.492253,-87.898805,JACKSON,CLARKE COUNTY,AL,36545,PACKAGING CORP OF AMERICA (100%),5698,"AA,C,TT"
2022,BORGER REFINERY,1006301,,35.70306,-101.36305,BORGER,HUTCHINSON COUNTY,TX,79008,PHILLIPS 66 (100%),33220,"C,MM,P,TT,Y"
2022,BOULDER LANDFILL,1006661,1600 SOUTH 66TH STREET,39.950304,-105.20126,BOULDER,BOULDER COUNTY,CO,80303,REPUBLIC SERVICES INC (100%),12472,HH
2022,BOUNTIFUL SANITARY LANDFILL,1003818,1300 WEST PAGES LANE,40.90655,-111.914024,WEST BOUNTIFUL,DAVIS COUNTY,UT,84087,CITY OF BOUNTIFUL UTAH (100%),58252,"C,HH"
2022,BRADLEY COUNTY LANDFILL,1003356,282 Nature Way,35.156568,-84.958905,MCDONALD,BRADLEY COUNTY,TN,37353,REPUBLIC SERVICES INC (100%),232881,HH
2022,BRADLEY LANDFILL & RECYCLING CENTER,1007951,9227 TUJUNGA AVENUE,34.236582,-118.380498,SUN VALLEY,LOS ANGELES COUNTY,CA,91352,WASTE MANAGEMENT INC (100%),13545,"C,HH"
2022,BRENT RUN LANDFILL,1002489,8335 VIENNA RD.,43.173752,-83.839145,MONTROSE,GENESEE COUNTY,MI,48457,GFL ENVIRONMENTAL HOLDINGS (US) INC (100%),77930,"C,HH"
2022,BREVARD CO BOARD OF COUNTY COMMISSIONERS,1005023,2250 ADAMSON ROAD,28.395857,-80.820761,COCOA,BREVARD COUNTY,FL,32926,COUNTY OF BREVARD FLORIDA (100%),651193,"C,HH"
2022,BRICKYARD DISPOSAL LANDFILL,1004026,601 EAST BRICKYARD ROAD,40.099998,-87.599998,DANVILLE,VERMILION COUNTY,IL,61832,REPUBLIC SERVICES INC (100%),30443,"C,HH"
2022,BRIDGETON LANDFILL,1007026,13570 SAINT CHARLES ROCK ROAD,38.766918,-90.445847,BRIDGETON,ST. LOUIS COUNTY,MO,63044,REPUBLIC SERVICES INC (100%),5367,"C,HH"
2022,BRISTOL HILL SANITARY LANDFILL,1004494,3125 State Route 3,43.33849,-76.33977,FULTON,OSWEGO COUNTY,NY,13069,COUNTY OF OSWEGO NEW YORK (100%),50941,"C,HH"
2022,BRISTOL INTEGRATED SOLID WASTE MANAGEMENT FACILITY,1004848,2655 Valley Drive,36.603075,-82.153334,BRISTOL,BRISTOL CITY,VA,24201,CITY OF BRISTOL VIRGINIA (100%),10384,HH
2022,BROADACRE LANDFILL - FOUNTAIN LANDFILL,1006464,10000 SQUIRREL CREEK RD,38.679516,-104.628161,FOUNTAIN,EL PASO COUNTY,CO,80817,WASTE CONNECTIONS US INC (100%),13568,"C,HH"
2022,BROKEN ARROW LANDFLL,1007712,21500 E 51ST ST,36.0851,-95.7328,BROKEN ARROW,WAGONER COUNTY,OK,74014,A TIMOSHENKO (75%); OKLAHOMA TRANSPORTATION AUTHORITY (7%); CITY OF BROKEN ARROW (18%),4743,HH
2022,BROOKINGS CITY LANDFILL,1004533,4101 30TH STREET,44.301056,-96.790687,BROOKINGS,BROOKINGS COUNTY,SD,57006,CITY OF BROOKINGS LANDFILL (100%),39035,HH
2022,BROOKS LANDFILL,1007605,4100 N WEST ST,37.75793,-97.3899,WICHITA,SEDGWICK COUNTY,KS,67205,CITY OF WICHITA KANSAS (100%),190647,"C,HH"
2022,BROOME CO NANTICOKE LANDFILL,1002436,286 KNAPP RD,42.24379,-75.98545,BINGHAMTON,BROOME COUNTY,NY,13905,BROOME COUNTY DIV OF SOLID WASTE MANAGEMENT (100%),31301,"C,HH"
2022,BROWARD COUNTY LANDFILL,1003543,7101 SW 205 AVENUE,26.03089,-80.42299,FORT LAUDERDALE,BROWARD COUNTY,FL,33332,BROWARD COUNTY SOLID WASTE & RECYCLING SERVICES (100%),39602,HH
2022,BROWN COUNTY LANDFILL,1005056,25 MARKET ST,45.464865,-98.487225,ABERDEEN,BROWN COUNTY,SD,57401,COUNTY OF BROWN SOUTH DAKOTA (100%),54522,HH
2022,"BRUNDIDGE LANDFILL, LLC",1004415,515 CLEAN WATER DRIVE,31.7003,-85.8433,BRUNDIDGE,PIKE COUNTY,AL,36010,BRUNDIDGE ACQUISITIONS (100%),43959,HH
2022,BRUNSWICK WASTE MANAGEMENT FACILITY,1007680,107 MALLARD CROSSING ROAD,36.762423,-77.809706,LAWRENCEVILLE,BRUNSWICK COUNTY,VA,23868,REPUBLIC SERVICES INC (100%),58059,"C,HH"
2022,BUENA VISTA DRIVE SANITARY LANDFILL,1006221,150 ROUNTREE LANE,36.91657,-121.81525,WATSONVILLE,SANTA CRUZ COUNTY,CA,95076,COUNTY OF SANTA CRUZ DEPARTMENT OF PUBLIC WORKS (100%),18656,HH
